interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,1083,16,1.125,1,1,1,1,1.5,2,2,0.875,0.125,0,0,0,0.125
interval_2011_12,3030,15,1.93333333333333,1,1,2,2.5,3,3.86,4,0.4,0.333333333333333,0.266666666666667,0,0,0.6
interval_2011_12,2219,15,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,6820,14,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1711,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2894,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2020,11,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2540,10,1.2,1,1,1,1,2,2,2,0.8,0.2,0,0,0,0.2
interval_2011_12,1106,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2060,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1072,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2017,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2892,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2599,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,3103,5,1.2,1,1,1,1,1.6,1.96,2,0.8,0.2,0,0,0,0.2
interval_2011_12,5221,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2452,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,1395,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,3020,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2011_12,2313,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
interval_2015_16,4675,732,2.17896174863388,1,1,2,3,4,7,8,0.449453551912568,0.230874316939891,0.281420765027322,0.0382513661202186,0,0.550546448087432
interval_2015_16,3511,678,1.01769911504425,1,1,1,1,1,2,3,0.986725663716814,0.00884955752212389,0.00442477876106195,0,0,0.0132743362831858
interval_2015_16,4676,564,1.11347517730496,1,1,1,1,1.69999999999999,3,3,0.898936170212766,0.0886524822695036,0.0124113475177305,0,0,0.101063829787234
interval_2015_16,2011,511,1.50880626223092,1,1,1,2,3,4,5,0.651663405088063,0.217221135029354,0.131115459882583,0,0,0.348336594911937
interval_2015_16,4673,474,2.31645569620253,1,1,1,3,5,12,14,0.548523206751055,0.194092827004219,0.175105485232068,0.0611814345991561,0.0210970464135021,0.451476793248945
interval_2015_16,3320,355,1.56056338028169,1,1,1,2,3,4.45999999999998,5,0.656338028169014,0.188732394366197,0.154929577464789,0,0,0.343661971830986
interval_2015_16,1107,306,1.03921568627451,1,1,1,1,1,2,3,0.967320261437908,0.0261437908496732,0.0065359477124183,0,0,0.0326797385620915
interval_2015_16,4671,289,1.26297577854671,1,1,1,1,2,4,4,0.802768166089965,0.145328719723183,0.0519031141868512,0,0,0.197231833910035
interval_2015_16,2014,258,1.72093023255814,1,1,1,2,3.30000000000001,6.43000000000001,8,0.643410852713178,0.197674418604651,0.124031007751938,0.0348837209302326,0,0.356589147286822
interval_2015_16,3821,218,1.02293577981651,1,1,1,1,1,2,2,0.977064220183486,0.0229357798165138,0,0,0,0.0229357798165138
interval_2015_16,4511,209,1.22966507177034,1,1,1,1,2,3.91999999999999,4,0.832535885167464,0.119617224880383,0.0478468899521531,0,0,0.167464114832536
interval_2015_16,1920,207,1.35265700483092,1,1,1,2,2,3.94,4,0.729468599033817,0.202898550724638,0.0676328502415459,0,0,0.270531400966184
interval_2015_16,2059,201,1.25870646766169,1,1,1,1,2,3,4,0.810945273631841,0.124378109452736,0.0646766169154229,0,0,0.189054726368159
interval_2015_16,4211,180,2.26666666666667,1,1,1,2.25,5,11,12,0.605555555555556,0.144444444444444,0.155555555555556,0.0777777777777778,0.0166666666666667,0.394444444444444
interval_2015_16,2229,171,1.08187134502924,1,1,1,1,1,2,3,0.923976608187134,0.0701754385964912,0.00584795321637427,0,0,0.0760233918128655
interval_2015_16,2351,146,1.67808219178082,1,1,1,2,3,4,4,0.589041095890411,0.184931506849315,0.226027397260274,0,0,0.410958904109589
