buyer,seller_nace4d,top_supplier,omega_top,bot_supplier,omega_bot,omega_gap,int_nace4d_spend,sum_buyer_tc,n_yr,nace4d_input_share,version,treat_year,topQ_nace4dshare,topQ_omegagap
3C2FF786CB14EE5DD5BBB4F942014CDBFD831EA6F74B20DE240BE1963FCE60A5,2351,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,3.82449630403523e-05,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0,3.82449630403523e-05,1379771.50537109,25136277,2,0.0548916414857735,treat_2008,2008,TRUE,FALSE
3C2FF786CB14EE5DD5BBB4F942014CDBFD831EA6F74B20DE240BE1963FCE60A5,4673,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,0.000142952612818147,79B63230F71E27B0B009FAEE092B4649C8CEF6C842DF1E9548C74ADA7F1A7DEB,0,0.000142952612818147,1685977.584198,25136277,2,0.0670734804600537,treat_2008,2008,TRUE,FALSE
3D49588D1918DFA4568937AEB2822B4167C073A07CB931AAE68628147C44CAE7,2351,1EB11C8C03D563589A1E83AF2856341DABF421EDF816A205EC6A0E9C90EACF10,3.82449630403523e-05,B8FDF1A99C14812F711B9B01A2C27EC7B85C6A71A20AB98121F00747A42E5B58,0,3.82449630403523e-05,6271384.15625,101090641,2,0.0620372380095008,treat_2008,2008,TRUE,FALSE
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,2314,5F38654B8D559290F7091D877D2F5AB22BBD287F5C18610884DFAD6648159F90,1.93483990171189e-05,257FDDCB07D4D7028707E9708179CBE6D1755E141E9238923EDD7D452E929734,0,1.93483990171189e-05,115561.882080078,118232726,2,0.000977410282158919,treat_2008,2008,FALSE,FALSE
3DB248094F805E65C4283A5FC5C1A05F1871485D001DB5C92F7E03CD31FDE4BF,4673,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,0.000142952612818147,79B63230F71E27B0B009FAEE092B4649C8CEF6C842DF1E9548C74ADA7F1A7DEB,0,0.000142952612818147,14011249.783905,118232726,2,0.118505681615639,treat_2008,2008,TRUE,FALSE
3E7EC3F44CC6C0E77C3870BA9BCC07AC0F1C1E579735E0C3C42869F9786AE9D6,1393,1CA094B752178A00D0DAB81D2B57AF833D16221A5E9AC38167100BC586216614,2.18514836381663e-08,3EE54F1625227C67E1ED1E8AADCB8DB7E0EAC784F6B11595A589E00465C4C22D,0,2.18514836381663e-08,42110.7105712891,16328555,2,0.00257896124741528,treat_2008,2008,FALSE,FALSE
4356F4371918FF48677CBB0AAB6CE5008DCB4777B1C38E7C8312F85C5B0BB282,2352,F528BEC475BD1E0F79259B2E943C62A8B2D1382032F6DDF19F90EDF27B4E278A,3.47441270450376e-05,233C29FA2E67D9E99661CF7ABDF39D6AC6BAEC0D61A8BF7ACA5B2A341DB24E7D,0,3.47441270450376e-05,65100096.1638184,128627546,2,0.50611317861742,treat_2008,2008,TRUE,FALSE
463E5CEFB73FAC0CF0C59FBF27DA421A50889167A31F6A0BDEF3564440AE9E91,4211,52CC2CBF9E3CAAF0F57404F3B203CA71D00EDB7723E195AE8A8947ADA5C06C9A,0.000432901544261535,E14B333E63B5525E292C27BD674CC465CFBEF8BC5ECBC8532E54CEAC6E89FB40,0,0.000432901544261535,4051557.26074219,175766983,2,0.023050729958437,treat_2008,2008,TRUE,TRUE
494441FB26A91DD14C6FB7489525F45A99D4C9B06693ECA2491D88899BD6C561,3511,3BE59C35E1BFCEE14744A27D1026D2E8F5690AEFBA6276A6EFADA053A2D4F534,0.000229158205560246,D6087F6F564F9EB41A21C09C34F0F42832CCF196F8F173AAD398683A64316F4A,0,0.000229158205560246,4445794.875,453607648,2,0.00980096983505886,treat_2008,2008,FALSE,TRUE
4A8A8E4BA992585257373408652BE44B064AEC522E711A3BAAF2C11B601C1D95,4673,DFE84999859FA7A6205AF0220585AD1C09A9628C9E358622CBCEA2E6DACBBBF1,0.000142952612818147,79B63230F71E27B0B009FAEE092B4649C8CEF6C842DF1E9548C74ADA7F1A7DEB,0,0.000142952612818147,2616974.6628418,34705115,2,0.0754060219319774,treat_2008,2008,TRUE,FALSE
