cut,version,treat_year,year,supplier_role,mean_share,n_cells,ci_lo,ci_hi
Top quartile by omega gap,treat_2013,2013,2006,bot,0.288001702383647,8,0.057332027031368,0.586337241143688
Top quartile by omega gap,treat_2013,2013,2007,bot,0.294947438577467,9,0.0852913416845899,0.584810577812299
Top quartile by omega gap,treat_2013,2013,2008,bot,0.5,6,0.166666666666667,0.833333333333333
Top quartile by omega gap,treat_2013,2013,2009,bot,0.627687916992417,11,0.354960644265145,0.90041518971969
Top quartile by omega gap,treat_2013,2013,2010,bot,0.600193206528785,15,0.381509822664433,0.821344052046919
Top quartile by omega gap,treat_2013,2013,2011,bot,0.589496853750019,16,0.377943636223889,0.79819702427886
Top quartile by omega gap,treat_2013,2013,2012,bot,0.589676873489208,16,0.37968570966233,0.788741742252064
Top quartile by omega gap,treat_2013,2013,2013,bot,0.570509757230222,14,0.341654084650256,0.773409205807371
Top quartile by omega gap,treat_2013,2013,2014,bot,0.550441236731858,14,0.342548268665646,0.759602060852343
Top quartile by omega gap,treat_2013,2013,2015,bot,0.552635024614376,14,0.331831551018902,0.773888785840345
Top quartile by omega gap,treat_2013,2013,2016,bot,0.686621503787059,13,0.461433107571817,0.91140541109223
Top quartile by omega gap,treat_2013,2013,2017,bot,0.634861668100807,12,0.431079263473603,0.834822454636491
Top quartile by omega gap,treat_2013,2013,2018,bot,0.517415077498376,14,0.294414168929257,0.727386160069757
Top quartile by omega gap,treat_2013,2013,2019,bot,0.575705771256677,14,0.350563141584116,0.772029816912977
Top quartile by omega gap,treat_2013,2013,2020,bot,0.50347790656374,14,0.289153119622083,0.70938859965158
Top quartile by omega gap,treat_2013,2013,2021,bot,0.602876894160411,14,0.395977610242906,0.821746784243336
Top quartile by omega gap,treat_2013,2013,2022,bot,0.578577827622736,13,0.347085399840163,0.788050805982517
Top quartile by omega gap,treat_2013,2013,2005,top,0.424671583776492,7,0.135483365610652,0.841543477963113
Top quartile by omega gap,treat_2013,2013,2006,top,0.200849796032064,8,0,0.477705965277678
Top quartile by omega gap,treat_2013,2013,2007,top,0.18357795151536,9,0,0.439743285960206
Top quartile by omega gap,treat_2013,2013,2008,top,0.448272363892332,6,0.124035057499076,0.806176158936511
