interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2011_12,2221,9993,1.39557690383268,1,1,1,1,2,5,12,0.755228660062044,0.16061242870009,0.0768537976583609,0.00700490343240268,0.000300210147102972,0.244771339937957
interval_2011_12,8211,9948,1.11127864897467,1,1,1,1,1,3,13,0.917571371129875,0.0634298351427423,0.018194611982308,0.000703659026940088,0.000100522718134298,0.0824286288701246
interval_2011_12,1610,9231,1.42985592026866,1,1,1,1,2,7,24,0.787130321741956,0.128155129455097,0.0666233344166396,0.0148412956342758,0.0032499187520312,0.212869678258044
interval_2011_12,2011,9222,1.16818477553676,1,1,1,1,2,3,8,0.877683799609629,0.0917371502927781,0.0292778139232271,0.00130123617436565,0,0.122316200390371
interval_2011_12,1083,8642,1.11027539921315,1,1,1,1,1,3,10,0.916454524415645,0.0682712335107614,0.0137699606572553,0.00150428141633881,0,0.0835454755843555
interval_2011_12,2223,8574,1.52962444599953,1,1,1,2,3,6,28,0.705621646839282,0.165267086540704,0.117914625612316,0.0106134826218801,0.000583158385817588,0.294378353160719
interval_2011_12,3320,7974,1.44946074742914,1,1,1,1,2,6,18,0.759719087032857,0.142588412340105,0.0825181840983195,0.0137948332079258,0.00137948332079258,0.240280912967143
interval_2011_12,1082,7662,1.68389454450535,1,1,1,1,3,13,54,0.76533542156095,0.129992169146437,0.0729574523623075,0.0195771339075959,0.0121378230227095,0.23466457843905
interval_2011_12,5221,7398,1.27007299270073,1,1,1,1,2,5,14,0.839280886726142,0.110975939443093,0.0410921870775885,0.00797512841308462,0.000675858340091917,0.160719113273858
interval_2011_12,1105,7212,1.79866888519135,1,1,1,1,2,19.8900000000003,54,0.858014420410427,0.0637825845812535,0.0318912922906267,0.0183028286189684,0.0280088740987243,0.141985579589573
interval_2011_12,3311,6585,1.22596810933941,1,1,1,1,2,4,14,0.851328777524677,0.105694760820046,0.039331814730448,0.00334092634776006,0.000303720577069096,0.148671222475323
interval_2011_12,2550,6467,1.24431730323179,1,1,1,1,2,4,10,0.82820473171486,0.126797587753209,0.0422143188495438,0.00278336168238751,0,0.17179526828514
interval_2011_12,2830,6324,1.49493991144845,1,1,1,2,2,7,21,0.722011385199241,0.180265654648956,0.0801707779886148,0.0166034155597723,0.00094876660341556,0.277988614800759
interval_2011_12,5210,5885,1.3322005097706,1,1,1,1,2,6,18,0.815972812234494,0.115208156329652,0.0579439252336449,0.00985556499575191,0.00101954120645709,0.184027187765506
interval_2011_12,2219,5816,1.35488308115543,1,1,1,1,2,5,13,0.781808803301238,0.147180192572215,0.06207015130674,0.00842503438789546,0.000515818431911967,0.218191196698762
interval_2011_12,6820,5696,1.16362359550562,1,1,1,1,2,4,14,0.89624297752809,0.0754915730337079,0.0244030898876405,0.00316011235955056,0.000702247191011236,0.10375702247191
interval_2011_12,3822,5468,1.06858083394294,1,1,1,1,1,3,8,0.948610095098756,0.0409656181419166,0.00969275786393563,0.000731528895391368,0,0.0513899049012436
